chars	trans	hexs	names
ʾ	)	0x2be	MODIFIER LETTER RIGHT HALF RING
ʿ	(	0x2bf	MODIFIER LETTER LEFT HALF RING
c̭	c	0x63+0x32d	LATIN SMALL LETTER C+COMBINING CIRCUMFLEX ACCENT BELOW
č	5	0x10d	LATIN SMALL LETTER C WITH CARON
č̭	5	0x10d+0x32d	LATIN SMALL LETTER C WITH CARON+COMBINING CIRCUMFLEX ACCENT BELOW
č̣	%	0x10d+0x323	LATIN SMALL LETTER C WITH CARON+COMBINING DOT BELOW
ḍ	D	0x1e0d	LATIN SMALL LETTER D WITH DOT BELOW
ð	6	0xf0	LATIN SMALL LETTER ETH
ð̣	^	0xf0+0x323	LATIN SMALL LETTER ETH+COMBINING DOT BELOW
ġ	G	0x121	LATIN SMALL LETTER G WITH DOT ABOVE
ḥ	H	0x1e25	LATIN SMALL LETTER H WITH DOT BELOW
ɟ	4	0x25f	LATIN SMALL LETTER DOTLESS J WITH STROKE
Ɉ	4	0x248	LATIN CAPITAL LETTER J WITH STROKE
k̭	&	0x6b+0x32d	LATIN SMALL LETTER K+COMBINING CIRCUMFLEX ACCENT BELOW
ḷ	L	0x1e37	LATIN SMALL LETTER L WITH DOT BELOW
ṃ	M	0x1e43	LATIN SMALL LETTER M WITH DOT BELOW
p̭	p	0x70+0x32d	LATIN SMALL LETTER P+COMBINING CIRCUMFLEX ACCENT BELOW
p̌	p	0x70+0x30c	LATIN SMALL LETTER P+COMBINING CARON
p̣	P	0x70+0x323	LATIN SMALL LETTER P+COMBINING DOT BELOW
ṛ	R	0x1e5b	LATIN SMALL LETTER R WITH DOT BELOW
ṣ	S	0x1e63	LATIN SMALL LETTER S WITH DOT BELOW
š	$	0x161	LATIN SMALL LETTER S WITH CARON
ṱ	<+>	0x1e71	LATIN SMALL LETTER T WITH CIRCUMFLEX BELOW
ṭ	T	0x1e6d	LATIN SMALL LETTER T WITH DOT BELOW
θ	8	0x3b8	GREEK SMALL LETTER THETA
ž	7	0x17e	LATIN SMALL LETTER Z WITH CARON
ẓ	Z	0x1e93	LATIN SMALL LETTER Z WITH DOT BELOW
á	a	0xe1	LATIN SMALL LETTER A WITH ACUTE
à	a	0xe0	LATIN SMALL LETTER A WITH GRAVE
ā	a	0x101	LATIN SMALL LETTER A WITH MACRON
ā̀	A	0x101+0x300	LATIN SMALL LETTER A WITH MACRON+COMBINING GRAVE ACCENT
ā́	A	0x101+0x301	LATIN SMALL LETTER A WITH MACRON+COMBINING ACUTE ACCENT
ă	@	0x103	LATIN SMALL LETTER A WITH BREVE
ắ	@	0x1eaf	LATIN SMALL LETTER A WITH BREVE AND ACUTE
ằ	@	0x1eb1	LATIN SMALL LETTER A WITH BREVE AND GRAVE
e	e	0x65	LATIN SMALL LETTER E
ē	E	0x113	LATIN SMALL LETTER E WITH MACRON
ɛ	3	0x25b	LATIN SMALL LETTER OPEN E
i	i	0x69	LATIN SMALL LETTER I
ī	I	0x12b	LATIN SMALL LETTER I WITH MACRON
ĭ	9	0x12d	LATIN SMALL LETTER I WITH BREVE
ə	9	0x259	LATIN SMALL LETTER SCHWA
o	o	0x6f	LATIN SMALL LETTER O
ō	O	0x14d	LATIN SMALL LETTER O WITH MACRON
u	u	0x75	LATIN SMALL LETTER U
ū	U	0x16b	LATIN SMALL LETTER U WITH MACRON
ŭ	2	0x16d	LATIN SMALL LETTER U WITH BREVE
ı	i	0x131	LATIN SMALL LETTER DOTLESS I
ɑ	a	0x251	LATIN SMALL LETTER ALPHA
